estado,year,nivel
Hidalgo,2024,2.5409429280397022
Jalisco,2003,0.0
Jalisco,2004,0.0
Jalisco,2005,0.13076923076923078
Jalisco,2006,1.1471119133574008
Jalisco,2007,1.0742574257425743
Jalisco,2008,1.0840890354492994
Jalisco,2009,1.02568093385214
Jalisco,2010,1.2748091603053435
Jalisco,2011,1.2793581327498176
Jalisco,2012,0.6247689463955638
Jalisco,2013,0.06728538283062645
Jalisco,2014,0.05737704918032787
Jalisco,2015,0.0890302066772655
Jalisco,2016,0.10116279069767442
Jalisco,2017,0.46980224478888294
Jalisco,2018,0.31430325352977284
Jalisco,2019,0.37857142857142856
Jalisco,2020,0.46779661016949153
Jalisco,2021,1.3780837636259322
Jalisco,2022,0.5884892086330935
Jalisco,2023,1.805242082271569
Jalisco,2024,1.3634486319050076
Michoacán de Ocampo,2003,0.0
Michoacán de Ocampo,2004,0.01818181818181818
Michoacán de Ocampo,2005,0.20109439124487005
Michoacán de Ocampo,2006,1.1413793103448275
Michoacán de Ocampo,2007,0.9483695652173914
Michoacán de Ocampo,2008,1.3698315467075037
Michoacán de Ocampo,2009,1.3603871928518243
Michoacán de Ocampo,2010,1.186046511627907
Michoacán de Ocampo,2011,0.8995176848874598
Michoacán de Ocampo,2012,0.3971119133574007
Michoacán de Ocampo,2013,0.0
Michoacán de Ocampo,2014,0.16363636363636364
Michoacán de Ocampo,2015,0.18415841584158416
Michoacán de Ocampo,2016,0.26079545454545455
Michoacán de Ocampo,2017,0.4632799558255108
Michoacán de Ocampo,2018,0.6281786941580756
Michoacán de Ocampo,2019,0.5355029585798816
Michoacán de Ocampo,2020,0.6008869179600886
Michoacán de Ocampo,2021,1.9182746878547106
Michoacán de Ocampo,2022,0.3799810246679317
Michoacán de Ocampo,2023,2.1959327336722723
Michoacán de Ocampo,2024,2.3271739130434783
Morelos,2003,0.689795918367347
Morelos,2005,0.0
Morelos,2006,0.44405594405594406
Morelos,2007,0.6273291925465838
Morelos,2008,0.24822695035460993
Morelos,2009,0.41262135922330095
Morelos,2010,0.06315789473684211
Morelos,2011,1.0
Morelos,2013,0.0
Morelos,2014,0.0
Morelos,2015,0.15625
Morelos,2016,0.0
Morelos,2017,0.0
Morelos,2018,0.1032258064516129
Morelos,2019,0.1524390243902439
Morelos,2020,0.16510903426791276
Morelos,2021,0.0547112462006079
Morelos,2022,0.23980815347721823
Morelos,2023,1.3518518518518519
Morelos,2024,1.6346153846153846
Nayarit,2003,0.0
Nayarit,2004,0.0
Nayarit,2005,0.045871559633027525
Nayarit,2006,1.4213197969543148
Nayarit,2007,0.9720930232558139
Nayarit,2008,1.8106796116504855
Nayarit,2009,0.4166666666666667
Nayarit,2010,0.2222222222222222
Nayarit,2011,1.0656565656565657
Nayarit,2012,0.5575221238938053
Nayarit,2013,0.35570469798657717
Nayarit,2014,0.0
Nayarit,2015,0.09090909090909091
Nayarit,2016,0.1794871794871795
Nayarit,2017,0.3831417624521073
Nayarit,2018,0.39090909090909093
Nayarit,2019,0.8619718309859155
Nayarit,2020,0.3495575221238938
Nayarit,2021,1.1967871485943775
Nayarit,2022,0.5287769784172662
Nayarit,2023,1.4765625
Nayarit,2024,1.1231671554252198
Nuevo León,2003,0.0
Nuevo León,2005,0.03669724770642202
Nuevo León,2006,0.7990762124711316
Nuevo León,2007,0.02040816326530612
Nuevo León,2008,1.2875536480686696
Nuevo León,2009,0.5098814229249012
Nuevo León,2010,0.06451612903225806
Nuevo León,2011,2.5677179962894248
Nuevo León,2012,0.8496420047732697
Nuevo León,2013,0.976027397260274
Nuevo León,2014,0.24147727272727273
Nuevo León,2015,0.22745098039215686
Nuevo León,2016,0.26653696498054474
Nuevo León,2017,0.17307692307692307
Nuevo León,2018,0.15384615384615385
Nuevo León,2019,0.21578099838969403
Nuevo León,2020,0.7537993920972644
Nuevo León,2021,1.2857142857142858
Nuevo León,2022,0.768993839835729
Nuevo León,2023,0.9223968565815324
Nuevo León,2024,0.7861507128309573
Oaxaca,2003,0.6718426501035196
Oaxaca,2004,0.23532579429186862
Oaxaca,2005,0.17472793228536881
Oaxaca,2006,0.0831889081455806
Oaxaca,2007,0.14417887432536622
Oaxaca,2008,0.0800794176042356
Oaxaca,2009,0.1681706316652994
Oaxaca,2010,0.2255406797116375
Oaxaca,2011,0.3563283922462942
Oaxaca,2012,0.0
Oaxaca,2013,0.0
Oaxaca,2014,0.1143543956043956
Oaxaca,2015,0.2936541737649063
Oaxaca,2016,0.6128860489882854
Oaxaca,2017,0.4239310573417302
Oaxaca,2018,0.24144114770133682
Oaxaca,2019,0.5443590902244314
Oaxaca,2020,0.6060353219301905
Oaxaca,2021,0.24215143120960295
Oaxaca,2022,0.3787972721636702
Oaxaca,2023,0.9427317731773177
Oaxaca,2024,1.1695246690734056
Puebla,2003,0.6243589743589744
Puebla,2004,0.0
Puebla,2005,0.031149301825993556
Puebla,2006,0.24908869987849333
Puebla,2007,0.44730679156908665
Puebla,2008,0.39691856199559794
Puebla,2009,0.46917040358744394
Puebla,2010,0.02586206896551724
Puebla,2011,0.9548762736535662
Puebla,2012,0.0
Puebla,2013,0.0
Puebla,2014,0.0
Puebla,2015,0.032327586206896554
Puebla,2016,0.2670212765957447
Puebla,2017,0.0
Puebla,2018,0.14392803598200898
Puebla,2019,0.5520361990950227
Puebla,2020,0.1300261096605744
Puebla,2021,0.26717557251908397
Puebla,2022,0.24437582708425232
Puebla,2023,0.4991543851171781
Puebla,2024,1.1815809097688292
Querétaro de Arteaga,2003,0.0
Querétaro de Arteaga,2004,0.0
Querétaro de Arteaga,2005,0.2708333333333333
Querétaro de Arteaga,2006,0.4513888888888889
Querétaro de Arteaga,2007,0.2727272727272727
Querétaro de Arteaga,2008,0.0821917808219178
Querétaro de Arteaga,2009,0.4642857142857143
Querétaro de Arteaga,2010,0.0
Querétaro de Arteaga,2011,1.7431693989071038
Querétaro de Arteaga,2012,1.2
Querétaro de Arteaga,2013,0.03896103896103896
Querétaro de Arteaga,2014,0.0425531914893617
Querétaro de Arteaga,2015,0.10344827586206896
Querétaro de Arteaga,2016,0.18012422360248448
Querétaro de Arteaga,2017,0.4444444444444444
Querétaro de Arteaga,2018,0.6934523809523809
Querétaro de Arteaga,2019,0.8619854721549637
Querétaro de Arteaga,2020,0.4935064935064935
Querétaro de Arteaga,2021,1.309090909090909
Querétaro de Arteaga,2022,1.4052757793764987
Querétaro de Arteaga,2023,2.0960591133004924
Querétaro de Arteaga,2024,2.6036745406824147
Quintana Roo,2003,0.0
Quintana Roo,2004,0.6290322580645161
Quintana Roo,2005,0.7258064516129032
Quintana Roo,2006,0.24324324324324326
Quintana Roo,2007,1.1333333333333333
Quintana Roo,2008,1.0769230769230769
Quintana Roo,2009,0.7297297297297297
Quintana Roo,2010,0.8494623655913979
Quintana Roo,2011,0.8955223880597015
Quintana Roo,2013,0.05263157894736842
Quintana Roo,2014,0.0
Quintana Roo,2015,0.0
Quintana Roo,2016,0.5126582278481012
Quintana Roo,2017,0.3047619047619048
Quintana Roo,2018,0.2916666666666667
Quintana Roo,2019,0.7789473684210526
Quintana Roo,2020,0.6153846153846154
Quintana Roo,2021,0.017543859649122806
Quintana Roo,2022,0.09166666666666666
Quintana Roo,2023,0.29850746268656714
Quintana Roo,2024,0.3875
San Luis Potosí,2003,0.0
San Luis Potosí,2004,0.0
San Luis Potosí,2005,0.11029411764705882
